"X.0.012.6","X.0.012675675675675676","X0.024","X.0.0942105263157895","X0.6105068493150686","X11.725","X.0.018.3","X0.012.1","X0.026.3","X0.102","inactive"
"-0.240","-0.656891891891892","-1.807","-26.01278947368421","-10.357602739726026","-41.808","-1.855","-0.840","-0.306","-0.671","active"
"-0.082","-3.783783783783849e-4","-0.036","-2.589921052631579","0.17297260273972595","22.239","-0.061","-0.071","-0.039","-0.077","inactive"
"-0.120","-0.07251351351351354","-0.115","-1.1987105263157891","-0.7618630136986301","7.033","-0.116","-0.071","-0.098","-0.160","inactive"
"-0.217","-0.01495945945945946","-0.037","-2.847921052631579","-0.319095890410959","19.715","-0.062","-0.061","-0.038","-0.068","inactive"
"-0.103","-0.05621621621621622","-0.137","-1.6004736842105258","-0.7121232876712328","11.411","-0.100","-0.054","-0.080","-0.132","inactive"
"-0.162","-0.026054054054054053","-0.072","-2.7843421052631583","-0.02376712328767116","17.930","-0.067","-0.050","-0.053","-0.096","inactive"
"-0.008","0.0011081081081081082","-0.003","-0.5187105263157895","0.47550684931506865","12.719","-0.007","0.015","0.045","0.104","inactive"
"0.002","0.012432432432432436","0.019","-0.6956842105263159","0.34265753424657525","15.952","0.006","0.010","0.050","0.100","inactive"
"-0.036","-0.6302972972972972","-1.825","-27.036868421052638","-10.126328767123287","-39.965","-1.841","-0.869","-0.225","-0.633","inactive"
"-0.024","-0.6322837837837838","-1.783","-27.271131578947376","-10.305630136986304","-40.476","-1.806","-0.854","-0.212","-0.619","inactive"
"-0.012","-0.017986486486486486","0.032","-0.7736842105263158","0.06519178082191779","10.781","-0.031","-0.011","0.008","0.088","inactive"
"-0.002","0.006216216216216219","0.006","-0.5551052631578947","0.5458904109589041","14.624","0.000","0.014","0.049","0.095","inactive"
"-0.015","-0.0164054054054054","0.040","-0.5169210526315792","-0.0932328767123288","9.760","-0.018","0.014","0.029","0.098","inactive"
"-0.004","0.005256756756756757","0.007","-1.1889473684210532","-0.09795890410958907","12.894","0.009","-0.002","0.042","0.097","inactive"
"-0.005","0.005608108108108109","-0.003","-0.4503684210526318","0.48269863013698644","18.472","-0.015","0.029","-0.136","0.108","inactive"
"-0.006","-0.008513513513513513","-0.006","-1.2433157894736844","0.40449315068493147","14.303","-0.017","0.012","0.043","0.106","inactive"
"-0.014","-0.0159054054054054","0.026","-0.7271315789473681","0.06989041095890411","10.608","-0.022","0.011","0.028","0.097","inactive"
"-0.017","-0.026972972972972964","0.049","0.6936842105263158","-0.195904109589041","8.347","-0.038","-0.001","-0.014","-0.070","inactive"
"-0.010","-0.0040675675675675696","0.001","-0.3618157894736842","0.5845616438356165","12.652","-0.010","0.013","0.040","0.102","inactive"
"-0.013","-0.012864864864864867","0.025","-0.5555263157894738","0.1601917808219178","10.854","-0.020","0.010","0.021","0.097","inactive"
"-0.030","-0.6328513513513513","-1.806","-27.490157894736843","-10.426917808219175","-40.347","-1.827","-0.864","-0.223","-0.628","active"
"-0.025","-0.6389729729729731","-1.790","-27.10097368421052","-10.420945205479455","-40.238","-1.815","-0.862","-0.225","-0.630","inactive"
"-0.008","-0.0024594594594594603","0.008","-0.648684210526316","0.3554520547945206","12.546","-0.016","-0.003","0.031","0.098","inactive"
"-0.021","-0.02374324324324325","0.073","0.019684210526315783","-0.5656438356164383","5.759","-0.019","0.017","0.028","-0.061","inactive"
"-0.005","0.001702702702702702","0.000","-1.1202368421052635","-0.001808219178082155","14.021","-0.001","0.015","0.046","0.108","inactive"
"-0.016","-0.023797297297297296","0.056","-0.6652368421052632","-0.5733287671232876","8.221","-0.027","0.010","0.008","0.093","inactive"
"-0.009","-0.0073243243243243245","0.012","-0.8494736842105264","0.031397260273972584","11.660","-0.010","0.015","0.036","0.103","inactive"
"-0.010","-0.0036081081081081085","0.011","-0.7180263157894737","0.08968493150684938","11.603","-0.004","0.019","0.044","0.103","inactive"
"-0.013","-0.012459459459459461","0.034","-0.6833684210526316","-0.12172602739726027","10.348","-0.014","0.015","0.035","0.100","inactive"
"-0.000","0.0072837837837837855","0.009","-0.7979210526315788","0.3865068493150685","14.859","0.002","0.013","0.045","0.095","inactive"
"-0.005","0.004256756756756756","-0.005","-0.9681052631578942","0.1374109589041097","13.296","-0.003","0.014","0.043","0.090","inactive"
"-0.009","-0.008918918918918918","0.011","-0.8012368421052631","0.1333698630136986","11.673","-0.013","0.012","0.028","0.101","inactive"
"-0.015","-0.009040540540540543","0.009","-0.8259473684210527","-0.1786301369863014","15.640","-0.009","0.021","0.040","0.156","inactive"
"-0.007","-4.459459459459465e-4","-0.003","-0.6983157894736841","0.23323287671232887","20.734","0.005","-0.002","0.033","0.089","inactive"
"-0.025","-0.03144594594594594","0.064","0.5582894736842106","-1.4232739726027397","0.839","-0.020","-0.006","0.020","0.078","inactive"
"-0.022","-0.061581081081081075","0.059","1.6885263157894734","-0.9514520547945206","4.129","-0.086","-0.045","-0.080","-0.140","inactive"
"0.009","0.022689189189189184","0.046","-0.7946052631578951","0.3985342465753424","17.901","0.015","-0.023","0.052","0.108","inactive"
"-0.044","-0.6490810810810811","-1.846","-25.776868421052633","-10.761178082191783","-40.831","-1.837","-0.870","-0.249","-0.663","inactive"
"-0.012","-0.015635135135135134","0.027","-1.0245789473684213","-0.07194520547945205","10.683","-0.029","-0.011","0.013","0.089","inactive"
"-0.016","-0.023716216216216213","0.051","-0.48352631578947347","-0.4365753424657533","7.963","-0.028","0.008","0.012","0.090","inactive"
"-0.011","-0.005783783783783784","0.009","-1.0401052631578949","0.09571232876712331","11.420","-0.010","0.015","0.041","0.102","inactive"
"-0.017","-0.014918918918918923","0.043","-0.4847105263157893","-0.1247945205479452","8.866","-0.015","0.016","0.036","0.097","inactive"
"-0.018","-0.013648648648648655","0.028","-1.0741842105263157","-0.705068493150685","7.004","-0.002","-0.002","0.036","0.077","inactive"
"-0.013","-0.012243243243243246","0.033","-0.5289736842105262","0.04786301369863014","10.596","-0.014","0.015","0.035","0.100","inactive"
"-0.012","-0.009324324324324326","0.027","-0.541973684210526","0.08627397260273975","10.995","-0.010","0.018","0.041","0.102","inactive"
"-0.016","-0.0235945945945946","0.053","-0.567421052631579","-0.4124383561643835","8.439","-0.028","0.008","0.004","0.091","inactive"
"-0.035","-0.6306081081081083","-1.821","-27.24452631578948","-10.516205479452056","-40.089","-1.838","-0.866","-0.223","-0.632","active"
"-0.046","-0.6330270270270271","-1.885","-27.1635","-10.06472602739726","-41.542","-2.014","-1.023","-0.336","-0.708","inactive"
"-0.033","-0.6322432432432433","-1.816","-27.387526315789476","-10.197082191780822","-40.503","-1.838","-0.865","-0.229","-0.636","inactive"
"-0.018","-0.024743243243243233","0.053","-0.6282631578947369","-0.592972602739726","8.285","-0.038","-0.013","0.001","0.084","inactive"
"-0.011","-0.010121621621621623","0.029","-0.6581052631578945","0.040547945205479476","10.719","-0.012","0.016","0.038","0.101","inactive"
"-0.003","0.0052567567567567575","0.003","-1.0105263157894735","0.14041095890410954","14.013","-0.000","0.014","0.047","0.095","inactive"
"-0.002","0.009905405405405408","0.010","-0.4116842105263158","0.7438219178082192","15.372","0.002","0.014","0.048","0.097","inactive"
"-0.018","-0.03662162162162162","0.055","-0.0782631578947368","-0.9601917808219181","7.184","-0.049","-0.005","-0.032","-0.077","inactive"
"-0.002","0.007783783783783785","0.009","-0.3808947368421053","0.7163698630136984","15.028","0.002","0.014","0.048","0.096","active"
"-0.008","-0.00195945945945946","-0.006","-0.2982368421052632","0.5482602739726028","12.909","-0.004","0.016","0.047","0.105","inactive"
"-0.009","-0.0054324324324324345","0.009","-0.43697368421052624","0.4968082191780822","12.133","-0.008","0.017","0.041","0.104","inactive"
"-0.013","-0.015445945945945946","0.035","-0.22960526315789467","0.295013698630137","10.714","-0.018","0.012","0.023","0.099","inactive"
"0.003","0.014013513513513518","0.023","-0.4479473684210527","0.6673972602739726","16.347","0.007","-0.031","0.050","0.101","inactive"
"-0.017","-0.0214054054054054","0.050","-0.4400263157894736","-0.29549315068493154","9.231","-0.024","0.014","0.020","0.097","inactive"
"0.045","-0.01267567567567568","0.031","-0.27105263157894727","0.2515753424657534","5.310","-0.014","0.016","0.028","0.059","inactive"
"-0.052","-0.6255540540540542","-1.823","-27.04107894736842","-10.081520547945205","-39.446","-1.838","-0.874","-0.223","-0.626","active"
"0.001","0.013648648648648651","0.008","-0.4982631578947368","0.7354520547945207","15.821","0.001","0.000","0.044","0.094","active"
"-0.008","-0.0049189189189189205","0.000","-0.7078157894736843","0.4203698630136987","12.652","-0.008","0.014","0.040","0.106","inactive"
"-0.000","0.012189189189189192","0.014","-0.05465789473684209","0.718808219178082","15.717","0.004","0.013","0.047","0.097","inactive"
"-0.030","-0.006081081081081079","0.054","0.49497368421052634","0.5114794520547945","10.088","-0.020","0.023","0.032","-0.051","inactive"
"-0.003","0.003756756756756756","0.001","-0.10189473684210523","0.845041095890411","14.471","-0.001","0.014","0.048","0.092","inactive"
"-0.007","-4.1891891891891714e-4","-0.008","0.04615789473684209","1.0605616438356162","13.429","-0.008","0.013","0.036","0.106","inactive"
"0.002","0.015121621621621622","0.018","-0.10481578947368418","1.0576301369863015","16.171","0.004","0.013","0.047","0.099","inactive"
"-0.023","-0.6394594594594595","-1.786","-26.819578947368417","-10.197767123287672","-39.896","-1.810","-0.850","-0.212","-0.622","inactive"
"-0.020","-0.6375135135135135","-1.779","-26.69986842105264","-10.3176301369863","-39.925","-1.802","-0.852","-0.209","-0.616","inactive"
"-0.026","-0.029054054054054066","0.077","0.8217105263157894","0.19473972602739745","4.725","-0.034","-0.008","0.017","-0.085","inactive"
"-0.017","-0.03418918918918918","0.057","0.9365526315789472","-0.17917808219178094","7.887","-0.041","-0.002","-0.018","-0.073","inactive"
"-0.008","0.001094594594594595","-0.003","-0.022552631578947387","0.7906164383561641","13.057","-0.006","0.016","0.046","0.105","inactive"
"-0.009","-0.0031081081081081063","0.000","-0.10026315789473682","0.8593424657534247","12.635","-0.012","0.013","0.033","0.104","inactive"
"-0.017","-0.024364864864864867","0.026","-0.3657105263157896","0.1390958904109589","10.329","-0.007","-0.007","0.033","0.099","inactive"
"-0.008","2.2972972972973068e-4","-0.001","-0.36721052631578954","0.6437808219178084","12.707","-0.005","0.017","0.044","0.105","inactive"
"-0.021","-0.021337837837837836","0.072","0.3215526315789474","-0.19123287671232872","6.583","-0.016","0.020","0.030","-0.057","inactive"
"-0.029","-0.03578378378378378","0.099","1.9411578947368424","-0.002602739726027281","1.707","-0.034","0.001","0.014","-0.094","inactive"
"-0.015","-0.019783783783783784","0.046","-0.016052631578947353","0.22565753424657553","10.148","-0.024","0.010","0.014","0.097","inactive"
"-0.005","0.0011891891891891878","-0.003","-0.41123684210526285","0.6572465753424657","13.985","-0.002","0.015","0.045","0.092","inactive"
"-0.003","0.003945945945945946","0.002","-0.3792105263157894","0.5779589041095891","14.446","-0.001","0.014","0.046","0.096","inactive"
"-0.001","0.009810810810810812","0.010","-0.3135526315789474","0.820890410958904","15.294","0.002","0.014","0.049","0.098","inactive"
"-0.011","-0.010121621621621625","0.020","-0.39136842105263137","0.3766712328767122","11.811","-0.012","0.015","0.031","0.103","inactive"
"-0.011","-0.00672972972972973","0.022","-0.4495263157894735","0.25502739726027396","11.420","-0.008","0.018","0.041","0.103","inactive"
"-0.012","-0.01416216216216216","0.029","-0.4384736842105263","0.19426027397260276","11.052","-0.020","0.013","0.023","0.102","inactive"
"-0.008","-0.0025945945945945945","0.004","-0.27613157894736845","0.499849315068493","12.654","-0.004","0.018","0.046","0.105","inactive"
"-0.013","-0.015027027027027023","0.040","-0.3038684210526314","0.1912465753424658","10.558","-0.017","0.015","0.029","0.100","inactive"
"-0.009","-0.007202702702702704","0.004","-0.2860263157894737","0.513890410958904","12.582","-0.004","0.019","0.046","0.105","inactive"
"-0.016","-0.023945945945945936","0.056","-0.21413157894736848","-0.1931506849315069","8.794","-0.026","0.010","0.012","0.094","inactive"
"-0.007","-0.001148648648648649","-0.007","-0.5725000000000001","0.3915890410958904","12.844","-0.003","0.016","0.047","0.106","inactive"
"-0.017","-0.031108108108108115","0.052","1.2285000000000001","0.20591780821917802","8.534","-0.038","0.002","-0.012","-0.066","inactive"
"-0.018","-0.04144594594594595","0.058","1.9135789473684213","0.1920136986301369","6.127","-0.055","-0.013","-0.044","-0.086","inactive"
"-0.003","0.004148648648648648","0.003","-0.39976315789473665","0.6198767123287672","14.591","-0.000","0.014","0.045","0.096","inactive"
"-0.011","-0.008094594594594598","0.023","-0.23563157894736833","0.46508219178082183","11.635","-0.009","0.017","0.042","0.102","inactive"
"-0.010","-0.009824324324324325","0.022","-0.35423684210526313","0.34167123287671236","11.548","-0.014","0.013","0.031","0.102","inactive"
"-0.001","0.0073243243243243245","0.008","-0.42255263157894724","0.698890410958904","14.807","0.001","0.013","0.046","0.095","inactive"
"-0.012","-0.015662162162162156","0.033","-0.2784473684210527","0.34441095890410967","10.744","-0.019","0.012","0.020","0.097","inactive"
"-0.007","-0.006608108108108108","0.002","-0.39328947368421063","0.596109589041096","12.734","-0.010","0.013","0.034","0.104","inactive"
"-0.016","-0.024945945945945944","0.055","-0.26973684210526316","-0.14945205479452062","8.734","-0.029","0.008","0.002","0.092","inactive"
"-0.004","0.0018108108108108095","-0.002","-0.4701842105263157","0.6533561643835617","14.020","-0.002","0.015","0.047","0.108","inactive"
"-0.006","0.001945945945945944","-0.011","-0.47652631578947363","0.6780000000000002","13.396","-0.007","0.014","0.039","0.106","inactive"
"-0.018","-0.01681081081081081","0.048","-0.1050526315789475","0.020000000000000084","9.370","-0.025","0.009","0.009","0.092","inactive"
"-0.016","-0.03128378378378378","0.061","1.8880000000000003","0.10431506849315064","7.886","-0.037","0.002","-0.009","-0.070","inactive"
"-0.006","0.0034999999999999988","-0.008","-0.435657894736842","0.5733424657534246","13.442","-0.005","0.014","0.043","0.107","inactive"
"-0.014","-0.020499999999999997","0.052","-0.2138157894736843","-0.018684931506849283","9.360","-0.024","0.012","0.020","0.096","inactive"
"-0.009","-0.011689189189189193","0.023","-0.4143947368421054","0.401931506849315","11.496","-0.015","0.012","0.026","0.100","inactive"
"-0.011","-0.011972972972972975","0.029","-0.32673684210526305","0.2992876712328767","11.009","-0.017","0.012","0.023","0.100","inactive"
"-0.015","-0.02012162162162162","0.045","-0.3274736842105262","-0.05663013698630134","9.612","-0.026","0.008","0.009","0.095","inactive"
"0.001","0.012648648648648652","0.020","-0.5960263157894736","0.5695753424657534","15.941","0.006","-0.033","0.049","0.101","inactive"
"-0.008","0.0010675675675675675","-0.005","-0.40376315789473677","0.6906849315068493","13.022","-0.006","0.016","0.042","0.105","inactive"
"-0.009","-0.00887837837837838","0.013","-0.4709473684210527","0.5577123287671234","12.099","-0.014","0.013","0.031","0.102","inactive"
"-0.016","-0.02212162162162162","0.049","-0.34142105263157885","-0.10900000000000004","9.396","-0.029","0.009","0.005","0.095","inactive"
"-0.007","3.243243243243245e-4","-0.007","-0.4553421052631578","0.6880273972602738","12.990","-0.008","0.014","0.038","0.105","inactive"
"-0.010","-0.012635135135135138","0.023","-0.46202631578947384","0.37141095890410963","11.263","-0.017","0.011","0.022","0.099","inactive"
"-0.012","-0.012283783783783784","0.053","-1.8231842105263156","0.7308493150684932","11.726","0.016","0.026","0.075","0.096","inactive"
"-0.013","-0.014500000000000006","0.003","2.1315789473684212","1.4491917808219177","13.169","0.019","-0.012","0.008","0.054","inactive"
"-0.010","-0.0037027027027027","0.051","-0.39047368421052625","1.6696301369863016","15.653","0.091","0.059","0.057","0.100","inactive"
"-0.005","-0.073","-0.006","-6.112078947368421","1.316630136986301","21.275","-0.494","-0.099","-0.054","0.129","inactive"
"-0.009","-0.00814864864864865","-0.003","-0.23507894736842125","0.5094794520547945","11.902","-0.020","-0.007","0.014","0.115","inactive"
"-0.011","-0.008027027027027029","-0.006","-0.8485526315789474","0.7019726027397262","16.701","-0.056","-0.038","0.020","0.121","inactive"
"-0.008","-0.006824324324324323","0.052","-1.9894736842105265","0.7750958904109589","12.617","0.080","0.102","0.010","0.126","inactive"
"-0.027","-0.050040540540540544","0.066","-0.01852631578947398","-0.45897260273972595","4.803","0.099","0.079","-0.093","-0.086","inactive"
"-0.001","0.015040540540540543","0.071","-1.7890526315789472","0.8341095890410959","20.268","0.049","0.044","0.053","0.152","inactive"
"-0.007","-8.918918918918915e-4","0.045","-2.0953684210526315","0.8024109589041095","14.745","0.074","0.076","0.067","0.106","inactive"
"-0.009","-0.004743243243243242","-0.013","-0.0395789473684209","0.5427534246575341","16.067","-0.002","-0.047","-0.021","0.116","inactive"
"0.003","0.018324324324324327","0.337","0.23173684210526305","0.8841095890410958","12.498","0.188","0.234","0.162","0.212","inactive"
"-0.014","-0.014445945945945948","0.061","-2.2891315789473685","0.41142465753424656","12.900","0.096","0.074","0.042","0.102","inactive"
"-0.008","-3.918918918918928e-4","0.084","-3.3900263157894743","0.05379452054794525","16.035","0.130","0.096","0.050","0.147","inactive"
"-0.002","0.007337837837837837","0.003","-1.681815789473684","0.8654246575342465","15.054","0.017","0.007","0.070","0.076","inactive"
"-0.008","0.0012162162162162155","0.042","0.4505526315789474","0.7868630136986302","16.173","0.067","0.062","0.108","0.123","inactive"
"-0.014","-0.019067567567567566","0.057","-1.4651578947368422","0.23619178082191777","11.336","0.040","0.060","0.077","0.126","inactive"
"0.002","-0.44270270270270257","-0.811","-6.916921052631577","-3.2225753424657535","28.816","-1.609","0.083","-0.134","0.047","inactive"
"-0.017","-0.11756756756756756","0.027","-6.882552631578947","-0.41365753424657536","17.770","-0.514","-0.153","-0.141","0.115","inactive"
"-0.012","-0.015040540540540537","0.033","-0.39773684210526317","0.1694657534246576","10.626","-0.018","0.011","0.022","0.098","inactive"
"0.007","0.019743243243243246","0.038","0.5356315789473683","1.301397260273973","18.203","0.011","-0.022","0.050","0.106","inactive"
"-0.002","0.004783783783783785","0.006","0.9816578947368422","1.4475890410958905","15.736","0.000","0.013","0.045","0.098","inactive"
"0.005","0.012067567567567564","0.030","-0.729078947368421","0.6422191780821919","17.665","0.002","-0.028","0.046","0.104","inactive"
"-0.012","-0.013175675675675678","0.029","-0.3178684210526316","0.3040547945205479","10.941","-0.016","0.014","0.027","0.100","inactive"
"-0.006","-0.009000000000000003","-0.009","-0.6731052631578949","0.30316438356164377","13.344","-0.006","0.014","0.046","0.107","inactive"
"-0.006","-0.004148648648648649","-0.008","-0.4755263157894737","0.45352054794520547","13.791","-0.004","0.015","0.045","0.110","inactive"
"-0.014","-0.037621621621621616","0.002","-1.7970263157894735","-0.9113013698630138","8.424","-0.049","-0.000","0.003","0.092","inactive"
"-0.010","-0.009337837837837839","0.019","-0.3171842105263158","0.5089589041095891","12.045","-0.008","0.013","0.040","0.104","inactive"
"-0.023","-0.028702702702702705","0.061","2.1052631578933364e-4","-0.0979999999999999","6.464","-0.020","0.018","0.030","0.093","inactive"
"-0.008","-0.0072297297297297305","0.011","-0.5265263157894737","0.39050684931506846","12.294","-0.010","0.013","0.034","0.102","inactive"
"-0.022","-0.03293243243243242","0.054","-0.23699999999999982","-0.4630273972602739","7.028","-0.025","0.016","0.029","-0.059","inactive"
"-0.012","-0.018851351351351346","0.025","-0.4291315789473685","0.2485753424657535","12.086","-0.016","0.010","0.027","0.106","inactive"
"-0.012","-0.03739189189189189","-0.070","-2.0374736842105263","-0.49276712328767114","8.571","-0.084","-0.025","-0.026","0.075","inactive"
"0.000","0.011337837837837839","0.013","-0.526921052631579","0.6914109589041095","15.157","0.004","0.014","0.048","0.097","inactive"
"-0.004","0.003594594594594595","0.005","-0.5009473684210529","0.5261095890410958","14.264","-0.000","0.017","0.052","0.110","inactive"
"-0.011","-0.006905405405405407","0.020","-0.20718421052631572","0.4187808219178083","11.855","-0.005","0.018","0.044","0.104","inactive"
"0.001","0.005229729729729729","0.020","-0.8311842105263155","0.44657534246575337","16.448","0.002","-0.034","0.049","0.102","inactive"
"0.009","0.019932432432432427","0.046","-0.992","0.7781232876712326","19.127","0.002","-0.025","0.045","0.107","inactive"
"0.005","0.01822972972972973","0.032","-0.43831578947368427","0.7064383561643834","17.040","0.011","-0.025","0.051","0.104","inactive"
"-0.015","-0.017148648648648644","0.040","0.17621052631578946","0.32941095890410965","10.409","-0.020","0.013","0.023","0.098","inactive"
"0.001","0.0137972972972973","0.018","0.35452631578947374","1.1534520547945206","16.019","0.006","0.013","0.050","0.098","inactive"
"-0.030","-0.02150000000000001","-0.013","-0.5557894736842105","0.6661917808219177","9.422","-0.024","0.011","0.037","0.079","inactive"
"-0.010","-0.01025675675675676","0.020","-0.4113157894736843","0.465041095890411","11.762","-0.014","0.013","0.028","0.101","inactive"
"-0.012","-0.012864864864864867","0.024","-0.5542631578947368","0.33980821917808224","11.412","-0.015","0.013","0.027","0.101","inactive"
"-0.013","-0.016054054054054048","0.040","-0.308","0.17343835616438363","10.708","-0.018","0.013","0.025","0.099","inactive"
"-0.017","-0.029067567567567558","0.036","-0.21471052631578955","-0.32800000000000007","8.862","-0.035","0.007","0.001","0.094","inactive"
"-0.019","-0.02154054054054054","0.065","0.09913157894736846","-0.07943835616438356","7.444","-0.016","0.020","0.031","0.095","inactive"
"-0.012","-0.014499999999999996","0.038","-0.16186842105263166","0.22535616438356165","10.537","-0.018","0.012","0.019","0.098","inactive"
"-0.005","-6.75675675675677e-4","-0.005","-0.497421052631579","0.6374931506849315","13.693","-0.003","0.015","0.044","0.107","inactive"
"-0.009","-0.0075540540540540565","-0.000","-0.39049999999999985","0.5060684931506849","12.690","-0.004","0.019","0.046","0.105","inactive"
"-0.002","0.0048648648648648655","0.004","-0.274921052631579","0.6467671232876712","14.657","0.001","0.015","0.045","0.096","inactive"
"?","?","?","?","?","?","?","?","?","?","inactive"
"-0.017","-0.015283783783783778","0.052","-0.08628947368421062","0.12298630136986294","8.751","-0.012","0.019","0.036","0.098","inactive"
"?","?","?","?","?","?","?","?","?","?","inactive"
"-0.009","0.0012972972972972996","0.003","-0.2823947368421052","0.577684931506849","12.569","-0.005","0.018","0.046","0.104","inactive"
"?","?","?","?","?","?","?","?","?","?","inactive"
"?","?","?","?","?","?","?","?","?","?","inactive"
"?","?","?","?","?","?","?","?","?","?","inactive"
"-0.018","-0.04012162162162161","0.056","0.6194999999999999","0.18586301369863018","8.582","-0.020","0.014","0.022","0.093","inactive"
"-0.010","-0.006283783783783784","-0.003","-0.10002631578947363","1.0166438356164385","13.332","-0.001","0.016","0.039","0.108","inactive"
"-0.010","-0.008918918918918918","-0.004","-2.526210526315789","0.4055479452054793","12.468","-0.006","0.011","0.029","0.104","inactive"
"-0.006","0.0011756756756756768","-0.010","0.2397631578947367","0.6911917808219177","13.483","-0.006","0.014","0.041","0.107","inactive"
"0.004","0.018581081081081082","0.030","-1.3453157894736838","0.502945205479452","16.827","0.011","-0.025","0.049","0.102","inactive"
"-0.011","-0.00468918918918919","0.012","-1.203315789473684","0.3956986301369863","12.174","-0.004","0.014","0.037","0.104","inactive"
"-0.011","-0.005864864864864864","-0.014","-3.245026315789473","-0.1758767123287672","13.306","-0.005","-0.013","-0.002","0.097","inactive"
"?","?","?","?","?","?","?","?","?","?","inactive"
"0.001","0.005608108108108109","0.010","-1.4923684210526316","0.553109589041096","15.489","0.004","0.012","0.044","0.096","inactive"
"-0.020","-0.038527027027027025","0.062","-0.5133421052631579","-0.4857671232876712","5.621","-0.040","-0.009","-0.029","-0.083","inactive"
"-0.014","-0.041999999999999996","0.032","-0.11089473684210527","0.320068493150685","10.681","-0.005","0.021","0.042","0.102","inactive"
"0.002","0.012810810810810815","0.029","-0.5504473684210526","0.46376712328767117","16.549","0.012","-0.026","0.051","0.101","inactive"
"-0.007","-0.01167567567567567","-0.013","-3.835184210526315","-0.02746575342465757","14.784","0.004","-0.018","-0.004","0.098","inactive"
"-0.017","-0.017","0.053","-0.26478947368421046","-0.12150684931506851","8.894","-0.021","0.014","0.023","0.097","inactive"
"-0.008","-0.02128378378378378","0.004","-0.3580263157894736","0.4866438356164383","12.602","-0.010","0.013","0.030","0.104","inactive"
"-0.012","-0.012229729729729733","0.019","-0.6469473684210525","0.169027397260274","11.707","-0.015","0.011","0.024","0.104","inactive"
"-0.001","0.004202702702702704","0.019","-1.3864999999999998","0.7851506849315069","15.767","0.008","-0.032","0.051","0.099","inactive"
"-0.007","-0.0033918918918918943","-0.009","-1.4002105263157885","0.5797123287671232","13.631","-0.001","0.015","0.043","0.108","inactive"
"-0.013","-0.010364864864864867","0.035","-0.058868421052631556","0.4274383561643835","10.645","-0.012","0.016","0.037","0.100","inactive"
"-0.000","0.011918918918918919","0.014","-0.10668421052631577","0.9811369863013697","15.616","0.005","0.014","0.052","0.098","inactive"
"-0.006","0.0014594594594594592","-0.009","-0.17363157894736844","0.9567123287671228","13.493","-0.007","0.013","0.038","0.105","inactive"
"-0.007","0.0011486486486486473","-0.001","-0.2666842105263158","0.5650273972602741","13.297","0.001","0.019","0.050","0.108","inactive"
"-0.014","-0.019256756756756758","0.044","-0.2762894736842106","0.09035616438356162","10.029","-0.025","0.011","0.006","0.096","inactive"
